行,彳丁
帆,巾凡
遮,辶庶
市,人巾
布,又巾
蓄,艹畜
求,求
蓋,艹盍
希,乂布
汁,水十
套,大镸
遠,辶袁
遣,追中
务,夂力
帖,巾占
汛,水卂
避,辶辟
汙,水于
蓖,艹比囟
選,辶巳共
遺,辶貴
遵,辶尊
遷,辶覀大巳
于,于
帚,彐冖巾
帛,白巾
遲,辶犀
汪,水王
棠,尚木
遏,辶曷
帥,垖巾
運,辶軍
遊,辶方人子
跺,足朵
窮,穴躬
池,水也
席,广廿巾
蓮,艹連
師,帥一
蓬,艹逢
遂,辶八豕
決,水夬
遜,辶孫
遞,辶虎
遙,辶月缶
帳,巾長
汽,水气
違,辶韋
達,辶土羊
汰,水太
浩,水告
道,辶首
五,乂二
有,又月
月,月
朋,月
嚷,口襄
服,月卩又
澳,水奥
朁,日天
最,日取
盞,戈皿
棧,木戈
粘,米占
操,手喿
望,亡月王
朝,十早月
期,其月
朔,屰月
朗,良月
粉,米分
木,木
末,木一
未,木
粲,又米攴
本,木一
术,木
粱,水刃米
精,米青
瘧,疒虐
朧,月龍
粹,米卒
粦,米夅
粥,弓米
朽,木丂
聶,耳
朿,朿
朱,木一
嚨,口龍
職,耳戠
朵,几木
囟,囟
回,囗口
鶯,火冖鳥
四,四
囚,囗人
撥,手發
撤,手徹
囗,囗
撩,手尞
棒,木奉
播,手番
撬,手毛
撲,手菐
撰,手巳共
囊,冖中襄
劈,辟刀
撿,手僉
囂,口頁
劉,卯金刀
鶴,隺鳥
撇,手敝
固,囗古
撈,手勞
霍,雨隹
囱,囟夕
困,囗木
鹵,卤
撒,手散
撐,手尚牙
囪,囟丿
撕,手斯
鹽,監鹵
撚,手然
鹿,鹿
囤,囗屯
割,害刀
棚,木朋
因,囗大
砸,石匝
胳,月各
破,石皮
饒,食堯
砰,石平
控,手空
腔,月空
接,手妾
探,手罙
掠,手京
饃,食莫
棟,木東
饅,食曼
措,手昔
掩,手奄
推,手隹
掖,手夜
羹,羔美
排,手非
掐,手臽
研,石开
鋤,金助
偎,人畏
掛,手卦
掙,手爭
掘,手屈
砌,石切
砍,石欠
功,工力
掃,手帚
掂,手店
掀,手欣
掏,手匋
掌,尚手
砂,石少
授,手受
蹂,足柔
蹄,足帝
蹈,足舀
桶,木甬
蹋,足日羽
使,人吏
髓,骨辶左月
髒,骨葬
棋,木其
蹤,足從
蹦,足崩
體,骨曲豆
高,高
