行,彳丁
廷,廴壬
延,廴止
牽,玄冖牛
廴,廴
廳,广聽
特,牛寺
牧,牛攵
韌,韋刃
牢,宀牛
牡,牛土
萬,禺艹
室,宀至
廣,广黄
廢,發
物,牛勿
廠,广敞
廟,广朝
膽,月詹
廛,广田坴
廚,广尌
牛,牛
牙,牙
牘,片賣
片,片
萊,艹來
萎,艹委
廉,广兼
萌,艹明
牌,片卑
廂,广相
廁,广則
版,片反
吾,吾
吼,口孔
爵,爵
吻,口勿
吸,口及
吹,口欠
鐮,金廉
吵,口少
吳,吳
吱,口支
吮,口允
启,户口
吭,口亢
含,今口
吩,口分
否,不口
吧,口巴
吠,口犬
靴,革化
吞,天口
吟,口今
歌,哥欠
吝,文口
君,尹口
訴,言斥
吐,口土
向,冂口
后,后
吏,一史
同,冃口
名,夕口
吊,口巾
鷹,广人隹鳥
合,亼口
吉,士口
吆,口幺
各,夂口
吃,口乞
時,日寺
晃,日光
籍,竹耒昔
籌,竹壽
翼,羽異
晉,一厶日
籃,竹監
晌,日向
鐺,金當
晚,日免
健,人建
晝,聿旦
籮,竹羅
籬,竹離
晦,日每
翻,番羽
晤,日吾
晨,日辰
普,並日
景,日京
痘,疒豆
壩,土霸
籽,米子
类,米大
晴,日青
呐,口內
智,知日
米,米
籲,竹龠頁
畢,田艹十
畦,田圭
略,田各
畫,田一聿
番,采田
異,田共
眶,目匡
當,尚田
膳,月善
畺,畺
畸,田奇
贅,敖貝
畀,田丌
呈,口王
贏,亡口月貝凡
贍,貝詹
近,辶斤
畏,田衣
贊,先貝
界,田介
贖,貝賣
明,日月
贓,貝臧
畔,田半
歉,兼欠
留,卯田
畝,亩久
畜,玄田
頒,分頁
頓,屯頁
預,予頁
頑,元頁
括,手舌
拭,手式
拯,手丞
領,令頁
秸,禾吉
移,禾多
香,禾日
頂,丁頁
頃,匕頁
秧,禾央
頁,頁
拼,手并
拾,手合
拿,合手
拱,手共
須,彡頁
拳,半手
拴,手全
秫,禾术
拷,手考
秕,禾比
拉,手立
頰,夾頁
昆,日比
科,禾斗
拍,手白
秒,禾少
頻,步頁
拂,手弗
頹,禿頁
拄,手主
秘,禾必
拆,手斥
拇,手母
拘,手句
拙,手出
招,手召
拜,手丰
秀,禾乃
拐,手另
拒,手巨
拓,手石
拔,手犮
秋,禾火
拗,手幼
錦,金帛
父,又
庸,庚用
爽,大乂
庶,广廿火
康,广隶
爸,父巴
爹,父多
爺,父耶
爻,乂
庭,广廷
葫,艹胡
葬,艹死
庫,广車
爬,爪巴
爭,爪肀
度,广廿又
董,艹重
爪,爪
府,广付
葛,艹曷
爐,火盧
庚,广又人
訂,言丁
底,广氐
店,广占
著,艹者
葉,艹枼
爆,火暴
序,广予
床,广木
撓,手堯
庇,广比
況,水兄
部,咅阝
泄,水世
郭,享阝
泉,白水
泊,水白
轎,車喬
泌,水必
瀑,水暴
箱,竹相
法,水去
都,者阝
瞻,目詹
泛,水乏
郵,垂阝
郊,交阝
波,水皮
泣,水立
郎,良阝
窟,穴屈
注,水主
緞,糸段
泰,丰水
泳,水永
泵,石水
錳,金孟
比,匕
丽,丽
垔,土覀
垖,垖
丸,厂人
丵,八干业
垛,土朵
串,口中
丱,丱
毛,毛
毅,立豕殳
垂,千土十
垃,土立
毀,臼土殳
丩,丩
並,立
每,人母
丞,子廾
业,業
丙,丙
丘,丘
世,廿十
丕,不
且,且
丑,丑
丐,下勹
不,不
丌,丌
下,下
上,上
三,一
丈,十又
毯,毛炎
七,七
丂,丂
丁,丁
一,一
匪,匚非
潘,水番
潭,水覃
匯,匚淮
菠,艹波
潦,水尞
匣,甲匚
匠,匚斤
匡,王匚
菩,艹咅
匹,匚八
菲,艹非
匿,匚若
匽,匚妟
匱,匚貴
樞,木區
扈,口巴戶
潰,水貴
匊,米勹
匋,勹缶
匈,勹凶
匍,勹甫
菌,艹口禾
菊,艹匊
包,勹巳
匚,匚
匙,是匕
潛,水朁
菐,美业
匝,匚巾
豌,豆宛
匐,勹畐
化,人匕
北,匕
匕,匕
禺,禺
离,离
駕,加馬
禾,禾
禿,禾儿
禼,禼
禽,人离
駝,馬它
禱,示壽
駛,馬史
戠,音戈
房,戶方
戾,犬戶
禮,示豊
墊,執土
駁,馬爻
豁,害谷
戴,異烖
戶,戶
禦,彳卸示
戰,單戈
戳,翟戈
戲,虍豆戈
戍,戊一
戌,戌
戎,戈又
戉,戉
戈,弋
駱,馬各
戊,戊
駿,馬夋
廈,广夏
辦,辛力
戀,絲言心
餃,食交
福,示畐
戚,戊上小
潔,水絜
駭,馬亥
或,戈口
我,禾戈
成,戊
戒,戈廾
鵬,朋鳥
鵡,武鳥
氈,亶毛
蛤,虫合
鵲,昔鳥
蛻,虫兌
讀,言賣
欄,木闌
鵝,我鳥
沽,水古
鵑,肙鳥
偷,人俞
幔,巾曼
鑽,金簪
爍,火樂
鑿,殳金業臼
裕,衣谷
皆,比白
皇,白王
的,白勺
裙,衣君
皂,白七
娛,女吳
皀,白匕
裝,壯衣
裂,列衣
裁,衣烖
娃,女圭
威,戊一女
皮,又
裳,尚衣
裸,衣果
裹,衣果
鑒,臣人四金
皿,皿
裡,衣里
皺,芻皮
堰,土匽
蚌,虫丰
揀,手柬
娩,女免
赤,土火
產,文厂生
甥,生男
用,用
甩,用乚
甫,用一
甬,甬
氧,气羊
赫,赤
田,田
由,由
甲,甲
申,申
走,人止
电,电
男,田力
甸,勹田
甹,丂由
邏,辶羅
堆,土隹
甕,雍瓦
甘,廿一
甚,甘匹
甜,舌甘
幫,封帛
生,屮土
梳,木旈
械,木戒
毆,區殳
炊,火欠
勤,堇力
耦,耒禺
勿,勿
勾,勹厶
勻,勹二
勺,勹一
勹,勹
勸,雚力
耳,耳
勵,萬力厂
梨,利木
梯,木弟
耶,耳阝
梭,木夋
盒,合皿
梗,木更
澡,水喿
耍,而女
而,而
勇,甬力
耂,耂
老,耂匕
耀,光翟
勃,孛力
耆,老日
條,人条
諧,言皆
募,莫力
勞,火冖力
勝,月力
耘,耒云
梆,木邦
務,矛务
勘,甚力
耒,耒
耑,而山
耐,而寸
耗,耒毛
勒,革力
耕,耒井
蛙,虫圭
狹,犬夾
狸,犬里
蒿,艹高
狽,犬貝
蒸,艹丞火
蒲,艹浦
邑,口巴
狡,犬交
狠,犬艮
蒦,艹隹又
幻,予
蒜,艹示
蒙,艹冖豕
被,衣皮
狐,犬瓜
狗,犬句
永,水
狀,片犬
狂,犬王
蒂,艹帝
簍,竹婁
澱,水殿
簇,竹族
枉,木王
林,木
枕,木冘
隨,遀阝
婿,女胥
析,木斤
枝,木支
果,田木
枚,木攵
茄,艹加
簪,竹朁
簫,竹肅
枯,木古
釀,酉襄
簡,竹門日
枷,木加
架,加木
簾,竹廉
簿,竹溥
簸,箕皮
枼,木世
煙,火垔
黃,黃
澇,水勞
乾,倝乙
坑,土亢
坐,人土
黄,黃
昨,日乍
婦,女帚
黎,黍勹
黍,禾入水
乳,孚乚
均,土匀
權,木雚
驢,馬盧
址,土止
鋪,金甫
坎,土欠
乡,乡
坊,土方
坴,土八
乞,人乙
也,也
乘,禾北
乙,乙
乚,乚
款,士示欠
乖,千北
欲,谷欠
乒,兵
欶,束欠
乍,乍
乎,爪丁
乏,乏
坡,土皮
及,人又
次,冫欠
久,人
欣,斤欠
乇,乇
茵,艹因
乂,乂
乃,乃
趨,走芻
茴,艹回
痢,疒利
趣,走取
鐐,金尞
莢,艹夾
坪,土平
痰,疒炎
趾,足止
足,口止
痹,疒畀
趴,足八
病,疒丙
症,疒正
越,走戉
趁,走昣
超,走召
痊,疒全
痕,疒艮
趟,走尚
鐵,金哉王
舔,舌忝
受,爪冖又
趕,走旱
卯,卬
痛,疒甬
扳,手反
首,八自
硼,石朋
扶,手夫
批,手比
找,手戈
承,手人
扼,手厄
之,之
硯,石見
扣,手口
硬,石更
硫,石旈
鋼,金岡
扮,手分
扯,手止
扭,手丑
扒,手八
打,手丁
硝,石肖
馱,馬大
扔,手乃
馳,馬也
扛,手工
托,手乇
所,戶斤
扁,戶冊
扇,戶羽
馬,馬
手,手
馮,冫馬
才,才
邪,牙阝
幅,巾畐
漿,將水
邢,开阝
那,冄阝
幌,巾晃
邦,阝丰
气,气
民,民
氐,氏
氓,亡民
清,水青
氛,气分
彰,章彡
邊,辶自旁
幢,巾童
氣,气米
鉤,金句
邀,辶敫
邁,辶萬
氯,气录
氮,气炎
還,辶睘
氨,气安
氫,气巠
水,水
平,于八
干,干
年,禾人
縮,糸宿
并,并
幹,倝干
幸,辛十
映,日央
幺,幺
幽,山幺
幼,幺力
广,广
幾,幺戌
截,隹烖
姚,女兆
褒,衣保
褐,衣曷
姓,女生
姑,女古
姐,女且
煞,刍攵火
委,禾女
始,女台
姊,女弔
褂,衣卦
煉,火柬
姆,女母
煌,火皇
姻,女因
姿,次女
漏,水尸雨
褱,衣水四
褪,衣退
漁,水魚
褥,衣辱
姨,女夷
照,昭火
煥,火奐
煤,火某
淘,水匋
煩,火頁
煮,者火
姥,女老
