扯	che3	手 shŏu; 止 zhĭ
贝	bei4	贝 bèi
狈	bei4	犬 quăn quán; 贝 bèi
备	bei4	夂 zhĭ; 田 tián
背	bei4 bei1	北 bĕi; 月 yuè
倍	bei4	人 rén; 咅 pŏu
被	bei4 pi1	衣 yī yì yĭ; 皮 pí
惫	bei4	备 bèi; 心 xīn
焙	bei4	火 huŏ; 咅 pŏu
辈	bei4	非 fēi; 车 chē jū
奔	ben1 ben4	大 dà dài; 十 shí; 廾 gŏng
贲	bi4 ben1	十 shí; 贝 bèi
本	ben3	木 mù; 一 yī
笨	ben4	竹 zhú; 本 bĕn
崩	beng1	山 shān; 朋 péng
绷	beng1 beng3 beng4	糸 mì; 朋 péng
泵	beng4	石 shí dàn; 水 shuĭ
蹦	beng4	足 zú jù; 崩 bēng
皀	bi1	皀 bī
逼	bi1	辶 chuò; 畐 fù
荸	bi2	艹 căo; 孛 bèi bó
鼻	bi2	自 zì; 畀 bì
匕	bi3	匕 bĭ
比	bi3 bi4	匕 bĭ
彼	bi3	彳 chì; 皮 pí
秕	bi3	禾 hé; 比 bĭ bì
笔	bi3	竹 zhú; 毛 máo
啚	bi3	入 rù; 回 huí
鄙	bi3 bi4	口 kŏu; 啚 bĭ; 邑 yì
币	bi4	巾 jīn
必	bi4	弋 yì; 八 bā bá
毕	bi4	比 bĭ bì; 十 shí
闭	bi4	门 mén; 才 cái
庇	bi4	广 guăng ān; 比 bĭ bì
畀	bi4	田 tián; 丌 jī
毙	bi4	比 bĭ bì; 死 sĭ
敝	bi4	巾 jīn; 攵 pō
痹	bi4	疒 chuáng; 畀 bì
蓖	bi4	艹 căo; 囟 xìn; 比 bĭ bì
辟	pi4 bi4 pi1	尸 shī; 口 kŏu; 辛 xīn
弊	bi4	敝 bì; 廾 gŏng
碧	bi4	王 wáng wàng; 白 bái; 石 shí dàn
蔽	bi4	艹 căo; 敝 bì
壁	bi4	辟 pì bì pī; 土 tŭ
避	bi4	辶 chuò; 辟 pì bì pī
臂	bei5 bi4 bei4	辟 pì bì pī; 月 yuè
璧	bi4	辟 pì bì pī; 玉 yù
边	bian1 bian5	辶 chuò; 力 lì
编	bian1	糸 mì; 扁 biăn piān
蝙	bian1	虫 chóng huĭ; 扁 biăn piān
鞭	bian1	革 gé jí jĭ; 便 biàn pián
贬	bian3	贝 bèi; 乏 fá
扁	bian3 pian1	户 hù; 册 cè
匾	bian3	匚 fāng xĭ; 扁 biăn piān
便	bian4 pian2	人 rén; 更 gèng gēng
变	bian4	亦 yì; 又 yòu
遍	bian4 pian4	辶 chuò; 扁 biăn piān
辨	bian4	辛 xīn
辩	bian4	辛 xīn; 言 yán
辫	bian4	辛 xīn; 糸 mì
彪	biao1	虎 hŭ hù; 彡 shān
标	biao1	木 mù; 示 shì
膘	biao1	月 yuè; 票 piào
表	biao3	王 wáng wàng; 衣 yī yì yĭ
憋	bie1	敝 bì; 心 xīn
鳖	bie1	敝 bì; 鱼 yú
别	bie2 bie4	另 lìng; 刀 dāo
瘪	bie1 bie3	疒 chuáng; 自 zì; 仑 lún
宾	bin1	宀 mián; 兵 bīng
彬	bin1	林 lín; 彡 shān
滨	bin1	水 shuĭ; 宾 bīn
缤	bin1	糸 mì; 宾 bīn
濒	bin1	水 shuĭ; 频 pín
鬓	bin4	镸 cháng zhăng; 彡 shān; 宾 bīn
冫	bing1	冫 bīng
冰	bing1	冫 bīng; 水 shuĭ
兵	bing1	斤 jīn jin; 廾 gŏng
丙	bing3	丙 bĭng
秉	bing3	禾 hé; 又 yòu
柄	bing3 bing4	木 mù; 丙 bĭng
饼	bing3	食 shí sì yì; 并 bìng bīng
禀	bing3	啚 bĭ; 示 shì
并	bing4 bing1	二 èr; 从 cóng cōng
並	bing4	立 lì
病	bing4	疒 chuáng; 丙 bĭng
癶	bo1	又 yòu
拨	bo1	手 shŏu; 发 fā fà
波	bo1 po1	水 shuĭ; 皮 pí
玻	bo1	王 wáng wàng; 皮 pí
剥	bo1 bao1	录 lù; 刀 dāo
脖	bo2	月 yuè; 孛 bèi bó
菠	bo1	艹 căo; 波 bō pō
播	bo1 bo4	手 shŏu; 番 fān pān
伯	bo2 bai3 ba4	人 rén; 白 bái
孛	bei4 bo2	十 shí; 冖 mì; 子 zi zĭ zí
驳	bo2	马 mă; 乂 yì ài
帛	bo2	白 bái; 巾 jīn
泊	bo2 po1 po4	水 shuĭ; 白 bái
勃	bo2	孛 bèi bó; 力 lì
舶	bo2	舟 zhōu; 白 bái
博	bo2	十 shí; 尃 fū
渤	bo2	水 shuĭ; 勃 bó
搏	bo2	手 shŏu; 尃 fū
膊	bo2 bo5	月 yuè; 尃 fū
薄	bo2 bao2 bo4	艹 căo; 溥 pŭ
跛	bo3	足 zú jù; 皮 pí
簸	bo4 bo3	箕 jī ji; 皮 pí
卜	bu3 bo5	卜 bŭ bo
补	bu3	衣 yī yì yĭ; 卜 bŭ bo
哺	bu3	口 kŏu; 甫 fŭ
捕	bu3	手 shŏu; 甫 fŭ
不	bu4 bu2 fou3	不 bù bú fŏu
布	bu4	又 yòu; 巾 jīn
步	bu4	止 zhĭ
怖	bu4	心 xīn; 布 bù
部	bu4	咅 pŏu; 邑 yì
埠	bu4	土 tŭ; 阜 fù
簿	bu4	竹 zhú; 溥 pŭ
擦	ca1	手 shŏu; 察 chá
猜	cai1	犬 quăn quán; 青 qīng
才	cai2	才 cái
材	cai2	木 mù; 才 cái
财	cai2	贝 bèi; 才 cái
裁	cai2	衣 yī yì yĭ; 烖 zāi
采	cai3 cai4	爪 zhuă zhăo; 木 mù
彩	cai3	采 căi cài; 彡 shān
睬	cai3	目 mù; 采 căi cài
踩	cai3	足 zú jù; 采 căi cài
菜	cai4	艹 căo; 采 căi cài
参	can1 cen1 shen1	厶 sī; 昣 zhĕn
餐	can1	攵 pō; 又 yòu; 食 shí sì yì
残	can2	歹 dăi; 戋 jiān
蚕	can2 tian3	天 tiān; 虫 chóng huĭ
惭	can2	心 xīn; 斩 zhăn
惨	can3 can4	心 xīn; 参 cān cēn shēn
灿	can4	火 huŏ; 山 shān
仓	cang1	人 rén; 卩 jié
沧	cang1	水 shuĭ; 仓 cāng
苍	cang1	艹 căo; 仓 cāng
舱	cang1	舟 zhōu; 仓 cāng
藏	zang4 cang2	艹 căo; 臣 chén; 片 piàn piān; 戈 gē
操	cao1 cao4	手 shŏu; 喿 cāo
糙	cao1	米 mĭ; 造 zào
曹	cao2	艹 căo; 曰 yuē
槽	cao2	木 mù; 曹 cáo
艹	cao3	屮 chè
草	cao3	艹 căo; 早 zăo
册	ce4	册 cè
侧	ce4 ze4 zhai1	人 rén; 则 zé
厕	ce4 si5	厂 chăng hăn ān; 则 zé
测	ce4	水 shuĭ; 则 zé
策	ce4	竹 zhú; 朿 cì
层	ceng2	尸 shī; 云 yún
蹭	ceng4	足 zú jù; 曾 céng zēng
叉	cha1 cha2 cha3 cha4	又 yòu
杈	cha1 cha4	木 mù; 叉 chā chá chă chà
插	cha1	手 shŏu; 干 gān gàn; 臼 jiù
查	cha2 zha1	木 mù; 旦 dàn
茬	cha2 zha1	艹 căo; 在 zài
茶	cha2	艹 căo; 人 rén; 木 mù
察	cha2	宀 mián; 祭 jì zhài
碴	cha2 cha1	石 shí dàn; 查 chá zhā
衩	cha4 cha3	衣 yī yì yĭ; 叉 chā chá chă chà
岔	cha4	分 fēn fèn; 山 shān
差	cha1 cha4 chai1 ci1	羊 yáng; 工 gōng
拆	chai1 ca1	手 shŏu; 斥 chì
柴	chai2	此 cĭ; 木 mù
豺	chai2	豸 zhì; 才 cái
掺	chan1 shan3 can4	手 shŏu; 参 cān cēn shēn
搀	chan1	手 shŏu; 免 miăn wèn
馋	chan2	食 shí sì yì; 免 miăn wèn
缠	chan2	糸 mì; 广 guăng ān; 里 lĭ li
蝉	chan2	虫 chóng huĭ; 单 dān chán shàn
产	chan3	立 lì
铲	chan3	金 jīn; 产 chăn
阐	chan3	门 mén; 单 dān chán shàn
颤	zhan4 chan4	亶 dăn dàn; 页 yè
昌	chang1	日 rì; 曰 yuē
猖	chang1	犬 quăn quán; 昌 chāng
长	zhang3 chang2	上 shàng shăng; 人 rén
肠	chang2	月 yuè; 昜 yáng
镸	chang2 zhang3	彐 jì; 云 yún
尝	chang2	尚 shàng; 云 yún
偿	chang2	人 rén; 尝 cháng
常	chang2	尚 shàng; 巾 jīn
厂	chang3 han3 an1	厂 chăng hăn ān
场	chang3 chang2 chang5	土 tŭ; 昜 yáng
敞	chang3 tang3	尚 shàng; 攵 pō
畅	chang4	申 shēn; 昜 yáng
倡	chang4 chang1	人 rén; 昌 chāng
唱	chang4	口 kŏu; 昌 chāng
抄	chao1	手 shŏu; 少 shăo shào
钞	chao1	金 jīn; 少 shăo shào
超	chao1	走 zŏu; 召 zhào shào zhāo
巢	chao2	川 chuān; 果 guŏ
朝	chao2 zhao1	十 shí; 早 zăo; 月 yuè
嘲	chao2 zhao1	口 kŏu; 朝 cháo zhāo
潮	chao2	水 shuĭ; 朝 cháo zhāo
吵	chao3 chao1	口 kŏu; 少 shăo shào
炒	chao3	火 huŏ; 少 shăo shào
车	che1 ju1	车 chē jū
穿	chuan1	穴 xué xuè; 牙 yá
传	chuan2 zhuan4	人 rén; 专 zhuān
船	chuan2	舟 zhōu; 几 jĭ jī; 口 kŏu
喘	chuan3	口 kŏu; 耑 zhuān duān
串	chuan4	口 kŏu; 一 yī
囱	cong1	囱 cōng
疮	chuang1	疒 chuáng; 仓 cāng
窗	chuang1	穴 xué xuè; 囱 cōng
床	chuang2	广 guăng ān; 木 mù
