扯	che3	手 shŏu; 止 zhĭ
讲	jiang3	言 yán; 井 jĭng
奖	jiang3	将 jiāng jiàng qiāng; 大 dà dài
桨	jiang3	将 jiāng jiàng qiāng; 木 mù
蒋	jiang3	艹 căo; 将 jiāng jiàng qiāng
匠	jiang4	匚 fāng xĭ; 斤 jīn jin
夅	xiang2	夅 xiáng
降	jiang4 xiang2	阜 fù; 夅 xiáng
畺	jiang1	一 yī; 田 tián
酱	jiang4	将 jiāng jiàng qiāng; 酉 yŏu
芁	jiao1	艹 căo; 冖 mì
交	jiao1	交 jiāo
郊	jiao1	交 jiāo; 邑 yì
娇	jiao1	女 nǚ rŭ; 乔 qiáo
浇	jiao1	水 shuĭ; 尧 yáo
骄	jiao1	马 mă; 乔 qiáo
胶	jiao1	月 yuè; 交 jiāo
椒	jiao1	木 mù; 叔 shū shú
焦	jiao1	隹 zhuī cuī; 火 huŏ
蕉	jiao1 qiao2	艹 căo; 焦 jiāo
礁	jiao1	石 shí dàn; 焦 jiāo
角	jiao3 jue2 jia3	角 jiăo jué jiă
侥	jiao3 yao2 jia3	人 rén; 尧 yáo
狡	jiao3 jia3	犬 quăn quán; 交 jiāo
绞	jiao3 jia3	糸 mì; 交 jiāo
饺	jiao3 jia3	食 shí sì yì; 交 jiāo
矫	jiao3 jia3 jiao2	矢 shĭ; 乔 qiáo
脚	jiao3 jue2 jia3	月 yuè; 却 què
搅	jiao3 jia3	手 shŏu; 觉 jué jiào
剿	jiao3 chao1 jia3	巢 cháo; 刀 dāo
敫	jiao3 jia3	白 bái; 放 fàng
缴	jiao3 zhuo2 jia3	糸 mì; 敫 jiăo jiă
叫	jiao4	口 kŏu; 丩 jiū
轿	jiao4	车 chē jū; 乔 qiáo
较	jiao4	车 chē jū; 交 jiāo
教	jiao4 jiao1	孝 xiào; 攵 pō
窖	jiao4	穴 xué xuè; 告 gào gù
酵	jiao4 xiao4	酉 yŏu; 孝 xiào
阶	jie1	阜 fù; 介 jiè
皆	jie1	比 bĭ bì; 白 bái
接	jie1	手 shŏu; 妾 qiè
秸	jie1	禾 hé; 吉 jí
揭	jie1	手 shŏu; 曷 hé
街	jie1	行 xíng háng hàng xìng héng; 圭 guī
卩	jie2	卩 jié
节	jie2 jie1	艹 căo; 卩 jié
劫	jie2	去 qù; 力 lì
杰	jie2	木 mù; 火 huŏ
疌	nie4	走 zŏu; 又 yòu
洁	jie2	水 shuĭ; 吉 jí
结	jie2 jie1	糸 mì; 吉 jí
捷	jie2	手 shŏu; 疌 niè
截	jie2	隹 zhuī cuī; 烖 zāi
竭	jie2	立 lì; 曷 hé
她	ta1	女 nǚ rŭ; 也 yĕ
姐	jie3	女 nǚ rŭ; 且 qiĕ jū
解	jie3 jie4 xie4	角 jiăo jué jiă; 刀 dāo; 牛 niú
介	jie4	人 rén; 八 bā bá
戒	jie4	戈 gē; 廾 gŏng
芥	jie4 gai4	艹 căo; 介 jiè
届	jie4	尸 shī; 由 yóu
界	jie4	田 tián; 介 jiè
诫	jie4	言 yán; 戒 jiè
借	jie4	人 rén; 昔 xī xí
巾	jin1	巾 jīn
今	jin1	亼 jí; 一 yī
斤	jin1 jin5	斤 jīn jin
金	jin1	亼 jí; 土 tŭ
津	jin1	水 shuĭ; 聿 yù
筋	jin1	竹 zhú; 肋 lèi lè lē
襟	jin1	衣 yī yì yĭ; 禁 jìn jīn
仅	jin3 jin4	人 rén; 又 yòu
紧	jin3	臤 qiān; 糸 mì
堇	jin3	廿 niàn; 中 zhōng zhòng; 王 wáng wàng
谨	jin3	言 yán; 堇 jĭn
锦	jin3	金 jīn; 帛 bó
尽	jin3 jin4	尺 chĭ chĕ; 冫 bīng
劲	jing4 jin4	巠 jīng; 力 lì
近	jin4	辶 chuò; 斤 jīn jin
进	jin4	辶 chuò; 井 jĭng
晋	jin4	亚 yà; 日 rì
浸	jin4 jin1	水 shuĭ; 唚 qìn
禁	jin4 jin1	林 lín; 示 shì
巠	jing1	巠 jīng
京	jing1	京 jīng
经	jing1 jing4	糸 mì; 巠 jīng
茎	jing1	艹 căo; 巠 jīng
荆	jing1	艹 căo; 刑 xíng
惊	jing1	心 xīn; 京 jīng
晶	jing1	日 rì
睛	jing1	目 mù; 青 qīng
兢	jing1	克 kè
精	jing1	米 mĭ; 青 qīng
鲸	jing1	鱼 yú; 京 jīng
井	jing3	井 jĭng
阱	jing3	阜 fù; 井 jĭng
宑	jing3	宀 mián; 丰 fēng; 八 bā bá
颈	jing3 geng3	巠 jīng; 页 yè
景	jing3 ying3	日 rì; 京 jīng
警	jing3	敬 jìng; 言 yán
净	jing4	冫 bīng; 争 zhēng
径	jing4	彳 chì; 巠 jīng
竞	jing4	立 lì; 兄 xiōng
竟	jing4	音 yīn; 儿 ér r2
敬	jing4	苟 gŏu; 攵 pō
靖	jing4	立 lì; 青 qīng
境	jing4	土 tŭ; 竟 jìng
静	jing4	青 qīng; 争 zhēng
镜	jing4	金 jīn; 竟 jìng
冂	jiong1	冂 jiōng
冏	jiong3	冂 jiōng; 八 bā bá; 口 kŏu
窘	jiong3 jun3	穴 xué xuè; 君 jūn
丩	jiu1	丩 jiū
纠	jiu1	糸 mì; 丩 jiū
究	jiu1 jiu4	穴 xué xuè; 九 jiŭ
鸠	jiu1	九 jiŭ; 鸟 niăo diăo
揪	jiu1	手 shŏu; 秋 qiū
九	jiu3	九 jiŭ
久	jiu3	人 rén
灸	jiu3	久 jiŭ; 火 huŏ
玖	jiu3	王 wáng wàng; 久 jiŭ
韭	jiu3	韭 jiŭ
酒	jiu3	水 shuĭ; 酉 yŏu
旧	jiu4	一 yī; 日 rì
臼	jiu4	臼 jiù
疚	jiu4	疒 chuáng; 久 jiŭ
救	jiu4	求 qiú; 攵 pō
就	jiu4	京 jīng; 尤 yóu
舅	jiu4	臼 jiù; 男 nán
匊	ju2	米 mĭ; 勹 bāo
居	ju1 ji1	尸 shī; 古 gŭ
拘	ju1	手 shŏu; 句 jù gōu
驹	ju1	马 mă; 句 jù gōu
鞠	ju1 ju2	革 gé jí jĭ; 匊 jú
局	ju2	尺 chĭ chĕ; 口 kŏu
菊	ju2	艹 căo; 匊 jú
橘	ju2	木 mù; 矛 máo; 冏 jiŏng
沮	ju3 ju4 ju1	水 shuĭ; 且 qiĕ jū
举	ju3	兴 xīng xìng; 手 shŏu
矩	ju3 ju5	矢 shĭ; 巨 jù
句	ju4 gou1	勹 bāo; 口 kŏu
巨	ju4	工 gōng; 匚 fāng xĭ
拒	ju4	手 shŏu; 巨 jù
具	ju4	目 mù; 廾 gŏng
炬	ju4	火 huŏ; 巨 jù
俱	ju4 ju1	人 rén; 具 jù
剧	ju4	居 jū jī; 刀 dāo
惧	ju4	心 xīn; 具 jù
据	ju4 ju1	手 shŏu; 居 jū jī
距	ju4	足 zú jù; 巨 jù
锯	ju4 ju1	金 jīn; 居 jū jī
聚	ju4	取 qŭ; 人 rén
捐	juan1	手 shŏu; 肙 yuān
鹃	juan1	肙 yuān; 鸟 niăo diăo
卷	juan3 juan4 quan2	半 bàn; 卩 jié
倦	juan4	人 rén; 卷 juăn juàn quán
绢	juan4	糸 mì; 肙 yuān
隽	juan4 jun4	隹 zhuī cuī; 乃 năi
眷	juan4	半 bàn; 目 mù
决	jue2	冫 bīng; 夬 guài
诀	jue2	言 yán; 夬 guài
绝	jue2	糸 mì; 色 sè shăi
觉	jue2 jiao4	冖 mì; 见 jiàn xiàn
倔	jue2 jue4	人 rén; 屈 qū
掘	jue2	手 shŏu; 屈 qū
爵	jue2	爵 jué
嚼	jiao2 jiao4 jue2	口 kŏu; 爵 jué
军	jun1	冖 mì; 车 chē jū
君	jun1	尹 yĭn; 口 kŏu
均	jun1 yun4	土 tŭ; 匀 yún
钧	jun1	金 jīn; 匀 yún
菌	jun1 jun4	艹 căo; 口 kŏu; 禾 hé
俊	jun4 zun4 juan4	人 rén; 夋 qūn
峻	jun4	山 shān; 夋 qūn
骏	jun4	马 mă; 夋 qūn
竣	jun4	立 lì; 夋 qūn
咖	ka1 ga1	口 kŏu; 加 jiā
卡	ka3 qia3	上 shàng shăng; 下 xià
开	kai1	廾 gŏng
揩	kai1	手 shŏu; 皆 jiē
凯	kai3	岂 qĭ; 几 jĭ jī
慨	kai3 kai4	心 xīn; 既 jì
楷	kai3 jie1	木 mù; 皆 jiē
刊	kan1	干 gān gàn; 刀 dāo
勘	kan1 kan4	甚 shèn shén shé; 力 lì
堪	kan1	土 tŭ; 甚 shèn shén shé
坎	kan3	土 tŭ; 欠 qiàn qian
砍	kan3	石 shí dàn; 欠 qiàn qian
看	kan4 kan1	手 shŏu; 目 mù
康	kang1	广 guăng ān; 隶 lì
慷	kang1 kang3	心 xīn; 康 kāng
糠	kang1	米 mĭ; 康 kāng
扛	kang2 gang1	手 shŏu; 工 gōng
亢	kang4	亢 kàng
抗	kang4	手 shŏu; 亢 kàng
炕	kang4	火 huŏ; 亢 kàng
丂	kao3	丂 kăo
考	kao3	耂 lǎo; 丂 kăo
拷	kao3	手 shŏu; 考 kăo
烤	kao3	火 huŏ; 考 kăo
铐	kao4	金 jīn; 考 kăo
靠	kao4	告 gào gù; 非 fēi
坷	ke3 ke1	土 tŭ; 可 kĕ kè
苛	ke1	艹 căo; 可 kĕ kè
科	ke1	禾 hé; 斗 dòu dŏu
棵	ke1	木 mù; 果 guŏ
颗	ke1	果 guŏ; 页 yè
磕	ke1	石 shí dàn; 去 qù; 皿 mĭn
蝌	ke1	虫 chóng huĭ; 科 kē
壳	qiao4 ke2	士 shì; 冖 mì; 几 jĭ jī
咳	ke2 hai1 ka3 kai4	口 kŏu; 亥 hài
可	ke3 ke4	丂 kăo; 口 kŏu
渴	ke3	水 shuĭ; 曷 hé
克	ke4	古 gŭ; 儿 ér r2
刻	ke4 ke1	亥 hài; 刀 dāo
客	ke4	宀 mián; 各 gè gĕ
课	ke4	言 yán; 果 guŏ
肯	ken3	止 zhĭ; 月 yuè
垦	ken3	艮 gèn gĕn; 土 tŭ
恳	ken3	艮 gèn gĕn; 心 xīn
啃	ken3	口 kŏu; 肯 kĕn
吭	hang2 keng1	口 kŏu; 亢 kàng
坑	keng1	土 tŭ; 亢 kàng
空	kong1 kong4	穴 xué xuè; 工 gōng
孔	kong3	子 zi zĭ zí; 乚 yĭn
恐	kong3	巩 gŏng; 心 xīn
控	kong4	手 shŏu; 空 kōng kòng
抠	kou1	手 shŏu; 区 qū ōu
口	kou3	口 kŏu
扣	kou4	手 shŏu; 口 kŏu
寇	kou4	完 wán; 攵 pō
枯	ku1	木 mù; 古 gŭ
哭	ku1	口 kŏu; 犬 quăn quán
窟	ku1	穴 xué xuè; 屈 qū
苦	ku3	艹 căo; 古 gŭ
库	ku4	广 guăng ān; 车 chē jū
裤	ku4	衣 yī yì yĭ; 库 kù
酷	ku4	酉 yŏu; 告 gào gù
夸	kua1	大 dà dài; 亏 kuī
垮	kua3	土 tŭ; 夸 kuā
挎	kua4	手 shŏu; 夸 kuā
胯	kua4	月 yuè; 夸 kuā
跨	kua4	足 zú jù; 夸 kuā
块	kuai4	土 tŭ; 夬 guài
快	kuai4	心 xīn; 夬 guài
筷	kuai4	竹 zhú; 快 kuài
宽	kuan1	宀 mián; 艹 căo; 见 jiàn xiàn
款	kuan3	士 shì; 示 shì; 欠 qiàn qian
匡	kuang1	匚 fāng xĭ; 王 wáng wàng
筐	kuang1	竹 zhú; 匡 kuāng
狂	kuang2	犬 quăn quán; 王 wáng wàng
况	kuang4	冫 bīng; 兄 xiōng
旷	kuang4	日 rì; 广 guăng ān
矿	kuang4	石 shí dàn; 广 guăng ān
框	kuang4 kuang1	木 mù; 匡 kuāng
眶	kuang4	目 mù; 匡 kuāng
亏	kui1	一 yī; 丂 kăo
盔	kui1	灰 huī; 皿 mĭn
窥	kui1	穴 xué xuè; 规 guī
葵	kui2	艹 căo; 癸 guĭ
魁	kui2	鬼 guĭ; 斗 dòu dŏu
傀	kui3 gui1	人 rén; 鬼 guĭ
愧	kui4	心 xīn; 鬼 guĭ
溃	kui4 hui4	水 shuĭ; 贵 guì
坤	kun1	土 tŭ; 申 shēn
昆	kun1	日 rì; 比 bĭ bì
捆	kun3	手 shŏu; 困 kùn
困	kun4	囗 wéi; 木 mù
扩	kuo4	手 shŏu; 广 guăng ān
括	kuo4 gua1	手 shŏu; 舌 shé
阔	kuo4	门 mén; 活 huó
廓	kuo4	广 guăng ān; 郭 guō
垃	la1	土 tŭ; 立 lì
拉	la1 la2 la3 la4	手 shŏu; 立 lì
啦	la5 la1	口 kŏu; 拉 lā lá lă là
喇	la3 la1 la2	口 kŏu; 剌 là lá
剌	la4 la2	束 shù; 刀 dāo
腊	la4 xi1	月 yuè; 昔 xī xí
蜡	la4 zha4	虫 chóng huĭ; 昔 xī xí
辣	la4	辛 xīn; 束 shù
来	lai2	来 lái
莱	lai2	艹 căo; 来 lái
赖	lai4	束 shù; 负 fù
癞	lai4	疒 chuáng; 赖 lài
兰	lan2	八 bā bá; 三 sān
拦	lan2	手 shŏu; 兰 lán
栏	lan2	木 mù; 兰 lán
蓝	lan2 lan5 la5	艹 căo; 监 jiān jiàn
澜	lan2	水 shuĭ; 门 mén; 柬 jiăn
篮	lan2	竹 zhú; 监 jiān jiàn
览	lan3	竹 zhú; 见 jiàn xiàn
揽	lan3	手 shŏu; 览 lăn
缆	lan3	糸 mì; 览 lăn
榄	lan3	木 mù; 览 lăn
懒	lan3	心 xīn; 赖 lài
烂	lan4	火 huŏ; 兰 lán
滥	lan4	水 shuĭ; 监 jiān jiàn
郎	lang2 lang4	良 liáng; 阜 fù
狼	lang2	犬 quăn quán; 良 liáng
廊	lang2	广 guăng ān; 郎 láng làng
琅	lang2	王 wáng wàng; 良 liáng
榔	lang2	木 mù; 郎 láng làng
朗	lang3	良 liáng; 月 yuè
浪	lang4	水 shuĭ; 良 liáng
捞	lao1	手 shŏu; 劳 láo
劳	lao2	芁 jiāo; 力 lì
牢	lao2	宀 mián; 牛 niú
唠	lao2 lao4	口 kŏu; 劳 láo
耂	lao3	耂 lǎo
老	lao3	耂 lǎo; 匕 bĭ
姥	lao3 mu3	女 nǚ rŭ; 老 lăo
潦	liao3 liao2 lao3	水 shuĭ; 尞 liáo liăo
涝	lao4	水 shuĭ; 劳 láo
烙	luo4 lao4	火 huŏ; 各 gè gĕ
酪	lao4 luo4	酉 yŏu; 各 gè gĕ
乐	le4 yue4	木 mù
勒	le4 lei1	革 gé jí jĭ; 力 lì
雷	lei2	雨 yŭ yù; 田 tián
耒	lei3	木 mù
垒	lei3	厶 sī; 土 tŭ
蕾	lei3	艹 căo; 雷 léi
儡	lei3	人 rén; 田 tián
肋	lei4 le4 le1	月 yuè; 力 lì
泪	lei4	水 shuĭ; 目 mù
类	lei4	米 mĭ; 大 dà dài
累	lei3 lei4 lei2	田 tián; 糸 mì
擂	lei2 lei4 lei1	手 shŏu; 雷 léi
棱	leng2 ling2 leng1	木 mù; 夌 líng
楞	leng2 leng4	木 mù; 网 wăng; 方 fāng
冷	leng3	冫 bīng; 令 lìng líng lĭng
厘	li2	厂 chăng hăn ān; 里 lĭ li
梨	li2	利 lì; 木 mù
狸	li2	犬 quăn quán; 里 lĭ li
离	li2	离 lí
莉	li4	艹 căo; 利 lì
犁	li2	利 lì; 牛 niú
漓	li2	水 shuĭ; 离 lí
璃	li2 li5	王 wáng wàng; 离 lí
黎	li2	黍 shŭ; 勹 bāo
篱	li2	竹 zhú; 离 lí
礼	li3	示 shì; 乚 yĭn
李	li3	木 mù; 子 zi zĭ zí
里	li3 li5	田 tián; 土 tŭ
哩	li1 li3 li5	口 kŏu; 里 lĭ li
理	li3	王 wáng wàng; 里 lĭ li
鲤	li3	鱼 yú; 里 lĭ li
力	li4	力 lì
历	li4	厂 chăng hăn ān; 力 lì
厉	li4	厂 chăng hăn ān; 万 wàn mò
立	li4	立 lì
吏	li4	一 yī; 史 shĭ
丽	li4 li2	冂 jiōng; 一 yī
利	li4	禾 hé; 刀 dāo
励	li4	厉 lì; 力 lì
沥	li4	水 shuĭ; 历 lì
例	li4	人 rén; 列 liè
隶	li4	又 yòu; 水 shuĭ
俐	li4	人 rén; 利 lì
荔	li4	艹 căo; 力 lì
栗	li4	西 xī; 木 mù
砾	li4	石 shí dàn; 乐 lè yuè
粒	li4	米 mĭ; 立 lì
痢	li4	疒 chuáng; 利 lì
雳	li4	雨 yŭ yù; 历 lì
俩	liang3 lia3	人 rén; 两 liăng
连	lian2	辶 chuò; 车 chē jū
帘	lian2	穴 xué xuè; 巾 jīn
怜	lian2 ling2	心 xīn; 令 lìng líng lĭng
莲	lian2	艹 căo; 连 lián
联	lian2	耳 ĕr; 关 guān
廉	lian2	广 guăng ān; 兼 jiān
镰	lian2	金 jīn; 廉 lián
敛	lian3	佥 qiān; 攵 pō
脸	lian3	月 yuè; 佥 qiān
练	lian4	糸 mì; 东 dōng
炼	lian4	火 huŏ; 东 dōng
恋	lian4	亦 yì; 心 xīn
链	lian4	金 jīn; 连 lián
良	liang2	良 liáng
凉	liang2 liang4	冫 bīng; 京 jīng
梁	liang2	水 shuĭ; 刃 rèn; 木 mù
粮	liang2	米 mĭ; 良 liáng
粱	liang2	水 shuĭ; 刃 rèn; 米 mĭ
两	liang3	两 liăng
亮	liang4	高 gāo; 几 jĭ jī
谅	liang4	言 yán; 京 jīng
辆	liang4	车 chē jū; 两 liăng
晾	liang4	日 rì; 京 jīng
量	liang4 liang2 liang5	旦 dàn; 里 lĭ li
辽	liao2	辶 chuò; 了 le liăo liào
疗	liao2	疒 chuáng; 了 le liăo liào
聊	liao2	耳 ĕr; 卯 măo
僚	liao2	人 rén; 尞 liáo liăo
寥	liao2	宀 mián; 翏 liù
嘹	liao2	口 kŏu; 尞 liáo liăo
撩	liao2 liao1 liao4	手 shŏu; 尞 liáo liăo
缭	liao2	糸 mì; 尞 liáo liăo
燎	liao2 liao3 liao4	火 huŏ; 尞 liáo liăo
镣	liao4	金 jīn; 尞 liáo liăo
了	le5 liao3 liao4	了 le liăo liào
料	liao4	米 mĭ; 斗 dòu dŏu
尞	liao2 liao3	火 huŏ; 日 rì; 小 xiăo
瞭	liao4 liao3	目 mù; 尞 liáo liăo
咧	lie3 lie1 lie5	口 kŏu; 列 liè
列	lie4	歹 dăi; 刀 dāo
劣	lie4	少 shăo shào; 力 lì
烈	lie4	列 liè; 火 huŏ
猎	lie4	犬 quăn quán; 昔 xī xí
裂	lie4 lie3	列 liè; 衣 yī yì yĭ
邻	lin2	令 lìng líng lĭng; 邑 yì
林	lin2	木 mù
临	lin2	臥 wò; 口 kŏu
淋	lin2 lin4	水 shuĭ; 林 lín
琳	lin2	王 wáng wàng; 林 lín
粦	lin2	米 mĭ; 夅 xiáng
磷	lin2	石 shí dàn; 粦 lín
鳞	lin2	鱼 yú; 粦 lín
凛	lin3	冫 bīng; 禀 bĭng
檩	lin3	木 mù; 禀 bĭng
吝	lin4	文 wén wèn; 口 kŏu
赁	lin4	任 rèn rén; 贝 bèi
蔺	lin4	艹 căo; 门 mén; 隹 zhuī cuī
躏	lin4	足 zú jù; 蔺 lìn
伶	ling2	人 rén; 令 lìng líng lĭng
灵	ling2	彐 jì; 火 huŏ
夌	ling2	土 tŭ; 八 bā bá; 夂 zhĭ
岭	ling3	山 shān; 令 lìng líng lĭng
玲	ling2	王 wáng wàng; 令 lìng líng lĭng
凌	ling2	冫 bīng; 夌 líng
铃	ling2	金 jīn; 令 lìng líng lĭng
陵	ling2	阜 fù; 夌 líng
翎	ling2	令 lìng líng lĭng; 羽 yŭ
菱	ling2	艹 căo; 夌 líng
蛉	ling2	虫 chóng huĭ; 令 lìng líng lĭng
零	ling2	雨 yŭ yù; 令 lìng líng lĭng
龄	ling2	齿 chĭ; 令 lìng líng lĭng
领	ling3	令 lìng líng lĭng; 页 yè
令	ling4 ling2 ling3	亼 jí; 厶 sī
另	ling4	口 kŏu; 力 lì
溜	liu1 liu4	水 shuĭ; 留 liú
刘	liu2	文 wén wèn; 刀 dāo
流	liu2	水 shuĭ; 旈 liú
留	liu2	卯 măo; 田 tián
旈	liu2	子 zi zĭ zí; 川 chuān
琉	liu2	王 wáng wàng; 旈 liú
硫	liu2	石 shí dàn; 旈 liú
馏	liu4 liu2	食 shí sì yì; 留 liú
榴	liu2	木 mù; 留 liú
瘤	liu2	疒 chuáng; 留 liú
柳	liu3	木 mù; 卯 măo
六	liu4 lu4	入 rù; 八 bā bá
翏	liu4	羽 yŭ; 昣 zhĕn
龙	long2	龙 lóng
咙	long2	口 kŏu; 龙 lóng
胧	long2	月 yuè; 龙 lóng
笼	long3 long2	竹 zhú; 龙 lóng
聋	long2	龙 lóng; 耳 ĕr
隆	long2 long1	阜 fù; 夂 zhĭ; 生 shēng
窿	long2	穴 xué xuè; 隆 lóng lōng
垄	long3	龙 lóng; 土 tŭ
拢	long3	手 shŏu; 龙 lóng
娄	lou2	米 mĭ; 女 nǚ rŭ
楼	lou2	木 mù; 娄 lóu
搂	lou3 lou1	手 shŏu; 娄 lóu
篓	lou3	竹 zhú; 娄 lóu
陋	lou4	阜 fù; 丙 bĭng
漏	lou4	水 shuĭ; 尸 shī; 雨 yŭ yù
露	lu4 lou4	雨 yŭ yù; 路 lù
卢	lu2	卜 bŭ bo; 尸 shī
庐	lu2	广 guăng ān; 户 hù
芦	lu2 lu3	艹 căo; 户 hù
炉	lu2	火 huŏ; 户 hù
颅	lu2	卢 lú; 页 yè
卤	lu3	卤 lŭ
虏	lu3	虍 hū; 力 lì
鲁	lu3	鱼 yú; 日 rì
陆	lu4 liu4	阜 fù; 击 jī
录	lu4	录 lù
赂	lu4	贝 bèi; 各 gè gĕ
鹿	lu4	鹿 lù
滤	lü4	水 shuĭ; 虑 lǜ
碌	liu4 lu4	石 shí dàn; 录 lù
路	lu4	足 zú jù; 各 gè gĕ
驴	lü2	马 mă; 户 hù
吕	lü3	口 kŏu
侣	lü3	人 rén; 吕 lǚ
旅	lü3	於 wū yū yú; 从 cóng cōng
铝	lü3	金 jīn; 吕 lǚ
屡	lü3	尸 shī; 娄 lóu
缕	lü3	糸 mì; 娄 lóu
履	lü3	尸 shī; 彳 chì; 复 fù
律	lü4	彳 chì; 聿 yù
虑	lü4	虍 hū; 心 xīn
率	lü4 shuai4 shuo4	玄 xuán; 十 shí
绿	lü4 lu4	糸 mì; 录 lù
氯	lü4	气 qì; 录 lù
峦	luan2	亦 yì; 山 shān
卵	luan3	卵 luăn
乱	luan4	舌 shé; 乚 yĭn
掠	lüe4 lüe3	手 shŏu; 京 jīng
略	lüe4	田 tián; 各 gè gĕ
抡	lun2 lun1	手 shŏu; 仑 lún
仑	lun2	人 rén; 匕 bĭ
伦	lun2	人 rén; 仑 lún
沦	lun2	水 shuĭ; 仑 lún
轮	lun2	车 chē jū; 仑 lún
论	lun4 lun2	言 yán; 仑 lún
罗	luo2 luo1 luo5	网 wăng; 夕 xī xì
啰	luo1	口 kŏu; 罗 luó luō luo
萝	luo2	艹 căo; 罗 luó luō luo
逻	luo2	辶 chuò; 罗 luó luō luo
锣	luo2	金 jīn; 罗 luó luō luo
箩	luo2	竹 zhú; 罗 luó luō luo
骡	luo2	马 mă; 累 lĕi lèi léi
螺	luo2	虫 chóng huĭ; 累 lĕi lèi léi
裸	luo3	衣 yī yì yĭ; 果 guŏ
洛	luo4	水 shuĭ; 各 gè gĕ
络	luo4 lao4	糸 mì; 各 gè gĕ
骆	luo4	马 mă; 各 gè gĕ
落	luo4 la4 lao4 luo1	艹 căo; 洛 luò
妈	ma1	女 nǚ rŭ; 马 mă
麻	ma2 ma1	广 guăng ān; 林 lín
蟆	ma2 ma5	虫 chóng huĭ; 莫 mò
马	ma3	马 mă
玛	ma3	王 wáng wàng; 马 mă
码	ma3	石 shí dàn; 马 mă
蚂	ma3 ma1 ma4	虫 chóng huĭ; 马 mă
骂	ma4	口 kŏu; 马 mă
吗	ma5 ma3 ma2	口 kŏu; 马 mă
埋	mai2 man2	土 tŭ; 里 lĭ li
买	mai3	头 tóu
迈	mai4	辶 chuò; 万 wàn mò
麦	mai4	来 lái; 夂 zhĭ
卖	mai4	十 shí; 买 măi
脉	mai4 mo4	月 yuè; 永 yŏng
蛮	man2	亦 yì; 虫 chóng huĭ
馒	man2	食 shí sì yì; 曼 màn
瞒	man2	目 mù; 艹 căo; 两 liăng
满	man3	水 shuĭ; 艹 căo; 两 liăng
曼	man4	冃 mào; 网 wăng; 又 yòu
幔	man4	巾 jīn; 曼 màn
慢	man4	心 xīn; 曼 màn
漫	man4 man2	水 shuĭ; 曼 màn
蔓	man4 wan4 man2	艹 căo; 曼 màn
忙	mang2	心 xīn; 亡 wáng wú
芒	mang2 wang2	艹 căo; 亡 wáng wú
盲	mang2	亡 wáng wú; 目 mù
茫	mang2	艹 căo; 水 shuĭ; 亡 wáng wú
莽	mang3	艹 căo; 犬 quăn quán
猫	mao1 mao2	犬 quăn quán; 苗 miáo
毛	mao2	毛 máo
矛	mao2	矛 máo
茅	mao2	艹 căo; 矛 máo
锚	mao2	金 jīn; 苗 miáo
卯	mao3	卯 măo
铆	mao3	金 jīn; 卯 măo
冃	mao4	冃 mào
茂	mao4	艹 căo; 戊 wù
冒	mao4 mo4	冃 mào; 目 mù
贸	mao4	卯 măo; 贝 bèi
帽	mao4	巾 jīn; 冒 mào mò
貌	mao4	豸 zhì; 白 bái; 儿 ér r2
么	me5 ma5 yao1	厶 sī
没	mei2 mo4	水 shuĭ; 殳 shū
枚	mei2	木 mù; 攵 pō
玫	mei2	王 wáng wàng; 攵 pō
眉	mei2	尸 shī; 目 mù
梅	mei2	木 mù; 每 mĕi
媒	mei2	女 nǚ rŭ; 某 mŏu
楣	mei2	木 mù; 眉 méi
煤	mei2	火 huŏ; 某 mŏu
霉	mei2	雨 yŭ yù; 每 mĕi
每	mei3	人 rén; 母 mŭ
美	mei3	羊 yáng; 大 dà dài
妹	mei4	女 nǚ rŭ; 未 wèi
昧	mei4	日 rì; 未 wèi
媚	mei4	女 nǚ rŭ; 眉 méi
门	men2	门 mén
闷	men4 men1	门 mén; 心 xīn
们	men5 men2	人 rén; 门 mén
氓	mang2 meng2	亡 wáng wú; 民 mín
萌	meng2	艹 căo; 明 míng
盟	meng2 ming2	明 míng; 皿 mĭn
朦	meng2	月 yuè; 蒙 mĕng méng mēng
檬	meng2	木 mù; 蒙 mĕng méng mēng
猛	meng3	犬 quăn quán; 孟 mèng
蒙	meng3 meng2 meng1	芁 jiāo; 豕 shĭ
锰	meng3	金 jīn; 孟 mèng
孟	meng4	子 zi zĭ zí; 皿 mĭn
梦	meng4	林 lín; 夕 xī xì
咪	mi1	口 kŏu; 米 mĭ
弥	mi2	弓 gōng; 尔 ĕr
迷	mi2	辶 chuò; 米 mĭ
谜	mi2 mei4	言 yán; 迷 mí
糜	mi2 mei2	麻 má mā; 米 mĭ
靡	mi3 mi2	麻 má mā; 非 fēi
米	mi3	米 mĭ
眯	mi1 mi2	目 mù; 米 mĭ
冖	mi4	冖 mì
糸	mi4	糸 mì
泌	mi4 bi4	水 shuĭ; 必 bì
觅	mi4	爪 zhuă zhăo; 见 jiàn xiàn
秘	mi4 bi4 lin2	禾 hé; 必 bì
密	mi4	宀 mián; 必 bì; 山 shān
蜜	mi4	宀 mián; 必 bì; 虫 chóng huĭ
宀	mian2	宀 mián
眠	mian2	目 mù; 民 mín
绵	mian2	糸 mì; 帛 bó
棉	mian2	木 mù; 帛 bó
免	mian3 wen4	免 miăn wèn
黾	min3 mian3	黾 mĭn miăn
勉	mian3	免 miăn wèn; 力 lì
娩	mian3 wan3	女 nǚ rŭ; 免 miăn wèn
冕	mian3	冃 mào; 免 miăn wèn
缅	mian3	糸 mì; 面 miàn
